key,year,incoming,value
grads,1999,106,25
grads,2000,69,25
grads,2001,105,31
grads,2002,85,26
grads,2003,85,27
grads,2004,84,16
grads,2005,82,30
grads,2006,82,17
grads,2007,82,22
grads,2008,109,36
grads,2009,102,0
grads,2010,111,0
grads,2011,118,0
retn,1999,106,38
retn,2000,69,22
retn,2001,105,40
retn,2002,85,33
retn,2003,85,26
retn,2004,84,38
retn,2005,82,27
retn,2006,82,34
retn,2007,82,31
retn,2008,109,33
retn,2009,102,0
retn,2010,111,0
retn,2011,118,0
