key,year,incoming,value
grads,1999,106,25
grads,2000,69,25
grads,2001,103,30
grads,2002,70,26
grads,2003,72,25
grads,2004,66,16
grads,2005,55,19
grads,2006,69,14
grads,2007,72,19
grads,2008,96,30
grads,2009,92,0
grads,2010,94,0
grads,2011,103,0
retn,1999,106,38
retn,2000,69,22
retn,2001,103,40
retn,2002,70,24
retn,2003,72,23
retn,2004,66,27
retn,2005,55,18
retn,2006,69,28
retn,2007,72,30
retn,2008,96,28
retn,2009,92,0
retn,2010,94,0
retn,2011,103,0
