key,year,incoming,value
grads,1999,106,11
grads,2000,69,19
grads,2001,103,13
grads,2002,70,14
grads,2003,72,18
grads,2004,66,11
grads,2005,55,11
grads,2006,69,6
grads,2007,72,16
grads,2008,96,24
grads,2009,92,0
grads,2010,94,0
grads,2011,103,0
retn,1999,106,16
retn,2000,69,5
retn,2001,103,15
retn,2002,70,8
retn,2003,72,10
retn,2004,66,6
retn,2005,55,10
retn,2006,69,22
retn,2007,72,17
retn,2008,96,21
retn,2009,92,0
retn,2010,94,0
retn,2011,103,0
